ENTRY,USCPI,CANEX,CANCPI,JAPANEX,JAPANCPI,SWEX,SWCPI
1987:10:00,288.221,1.31,339.211,128.68,264.118,1.494,198.028
1987:11:00,289.223,1.317,340.681,123.202,262.647,1.383,198.748
1987:12:00,289.724,1.308,341.171,123.608,262.353,1.33,198.734
1988:01:00,290.727,1.286,341.662,127.363,261.765,1.347,199.241
1988:02:00,291.228,1.268,343.132,127.737,261.176,1.392,200.215
1988:03:00,291.98,1.249,345.093,130.55,262.059,1.386,200.678
1988:04:00,293.734,1.235,346.073,132.036,263.529,1.382,201.061
1988:05:00,294.486,1.237,348.034,137.864,263.824,1.411,200.573
1988:06:00,295.739,1.218,349.014,143.981,263.235,1.463,200.885
1988:07:00,296.992,1.208,350.975,140.424,262.647,1.534,200.428
1988:08:00,298.246,1.224,351.465,141.485,263.529,1.584,201.127
1988:09:00,299.499,1.227,351.956,145.07,265.588,1.576,201.179
1988:10:00,300.501,1.206,353.916,142.207,266.765,1.537,201.5
1988:11:00,301.504,1.219,354.407,143.534,265.882,1.468,202.241
1988:12:00,302.506,1.196,354.407,143.685,265,1.48,202.607
1989:01:00,303.759,1.191,356.367,144.982,264.412,1.562,203.717
1989:02:00,304.762,1.189,358.818,145.693,263.824,1.574,204.741
1989:03:00,306.266,1.195,360.779,153.308,265,1.611,205.292
1989:04:00,308.521,1.189,361.759,158.459,269.706,1.647,206.372
1989:05:00,310.025,1.192,365.681,154.044,271.176,1.729,206.514
1989:06:00,311.028,1.199,367.151,153.696,270.882,1.709,206.868
1989:07:00,312.03,1.189,369.602,149.04,270.588,1.628,206.41
1989:08:00,312.03,1.176,370.093,147.461,270.294,1.661,207.095
1989:09:00,312.782,1.183,370.583,138.44,272.647,1.687,207.996
1989:10:00,314.286,1.175,372.053,129.591,274.706,1.63,208.818
1989:11:00,315.539,1.17,373.034,129.215,271.765,1.619,211.228
1989:12:00,316.541,1.161,373.034,133.889,272.059,1.569,212.781
1990:01:00,319.549,1.172,375.975,133.699,273.235,1.518,214.034
1990:02:00,320.802,1.196,378.426,130.536,273.529,1.488,214.728
1990:03:00,322.306,1.18,379.896,137.387,274.706,1.513,215.467
1990:04:00,323.058,1.164,379.896,137.113,276.765,1.487,215.911
1990:05:00,323.559,1.175,381.857,138.222,278.235,1.42,216.961
1990:06:00,325.564,1.173,383.328,139.748,277.059,1.425,217.263
